Home Team,Away Team,Division / Cup,Ground,Scorer 1,Scorer 2,Result,Bat First,Won Toss,home team 1 st innings runs,home team 1 st innings wickets,home team 1 st innings overs,away team 1 st innings runs,away team 1 st innings wickets,away team 1st innings overs
Hucknall CC - 4th XI,West Bridgfordians CC - 5th XI,Division N,Newstead Abbey,,,Hucknall CC - 4th XI - Won,Hucknall CC - 4th XI,Hucknall CC - 4th XI,283,7,36,152,10,29.4
West Bridgfordians CC - 5th XI,"Collingham & District CC, Notts - 4th XI",Division N,Add New Ground,A A,,West Bridgfordians CC - 5th XI - Won,West Bridgfordians CC - 5th XI,"Collingham & District CC, Notts - 4th XI",178,8,36,133,10,32.4
Madni CC - 2nd XI,West Bridgfordians CC - 5th XI,Division N,Jubilee Park,,,Madni CC - 2nd XI - Won,Madni CC - 2nd XI,West Bridgfordians CC - 5th XI,173,9,36,133,10,32.4
West Bridgfordians CC - 5th XI,Coddington & Winthorpe CC - Development XI,Division N,Winthorpe Cricket Ground,,A A,Cancelled,,,,,,,,
West Bridgfordians CC - 5th XI,Byron Abbey CC - 1st XI,Division N,Farnborough Road,A A,,West Bridgfordians CC - 5th XI - Conceded,,,,,,,,
"Bottesford CC, Leics - 2nd XI",West Bridgfordians CC - 5th XI,Division N,Bottesford CC,A A,,"Bottesford CC, Leics - 2nd XI - Won",West Bridgfordians CC - 5th XI,West Bridgfordians CC - 5th XI,94,2,21.2,92,10,29.4
Whatton and Aslockton CC - 2nd XI,West Bridgfordians CC - 5th XI,Division N,Richard Lambourne Cricket Ground,,,West Bridgfordians CC - 5th XI - Won,West Bridgfordians CC - 5th XI,Whatton and Aslockton CC - 2nd XI,199,8,36,270,5,36
West Bridgfordians CC - 5th XI,Keyworth CC - 4th XI,Division N,Add New Ground,A A,,West Bridgfordians CC - 5th XI - Won,West Bridgfordians CC - 5th XI,West Bridgfordians CC - 5th XI,193,6,36,96,10,25.4
Bingham CC - 4th XI,West Bridgfordians CC - 5th XI,Division N,Croxton  Kerrial Sports Club,,,West Bridgfordians CC - 5th XI - Won,Bingham CC - 4th XI,Bingham CC - 4th XI,72,10,23,75,6,18.4
West Bridgfordians CC - 5th XI,"Caythorpe CC, Notts - 5th XI",Division N,Add New Ground,,,Abandoned,"Caythorpe CC, Notts - 5th XI","Caythorpe CC, Notts - 5th XI",,,,122,8,24
Wymeswold CC - 2nd XI,West Bridgfordians CC - 5th XI,Division N,Wymeswold Cricket Club,,,Wymeswold CC - 2nd XI - Won,West Bridgfordians CC - 5th XI,Wymeswold CC - 2nd XI,100,9,27.2,99,10,22.3
